Date (MM/DD/YYYY),Time (HH:MM:SS),Site Name,ODO % sat,ODO mg/L,Temp °C,SpCond µS/cm,Turbidity NTU,pH,ORP mV,Depth m
01/11/18,15:00:01,Chesapeake,122.1,17.21,0.48,214.8,5.15,6.91,285.8,1
01/11/18,16:00:01,Chesapeake,122.3,17.24,0.51,213.2,5.23,6.86,287.5,1
01/11/18,17:00:01,Chesapeake,122.1,17.21,0.5,214.6,4.76,6.82,286.3,1
01/11/18,18:00:01,Chesapeake,122.2,17.23,0.5,213.4,5.18,6.77,285.7,1
01/11/18,19:00:01,Chesapeake,122.1,17.22,0.49,212.3,4.25,6.73,284.4,1
01/11/18,20:00:01,Chesapeake,122.2,17.21,0.55,212.4,5.45,6.71,285.1,1
01/11/18,21:00:01,Chesapeake,122.1,17.22,0.49,212.3,5.19,6.69,284.3,1
01/11/18,22:00:01,Chesapeake,121.7,17.19,0.44,209.9,5.36,6.67,283.3,1
01/11/18,23:00:01,Chesapeake,122,17.18,0.54,212.3,5.48,6.67,283.6,1
01/12/18,0:00:01,Chesapeake,121.9,17.17,0.54,211.5,5.55,6.66,283,1
01/12/18,1:00:01,Chesapeake,122.1,17.18,0.56,211.6,5.76,6.65,282.7,1
01/12/18,2:00:01,Chesapeake,121.8,17.22,0.39,207.6,5.27,6.64,282.4,1
01/12/18,3:00:01,Chesapeake,121.8,17.17,0.51,209,5.5,6.63,280,1
01/12/18,4:00:01,Chesapeake,121.8,17.13,0.58,209.1,5.28,6.63,277.3,1
01/12/18,5:00:01,Chesapeake,121.7,17.08,0.65,210.2,5.66,6.62,278.2,1
01/12/18,6:00:01,Chesapeake,121.5,17.05,0.66,208,5.72,6.61,279.1,1
01/12/18,7:00:01,Chesapeake,121.5,17.04,0.7,208.4,5.82,6.6,280.2,1
01/12/18,8:00:01,Chesapeake,121.6,17.01,0.78,209.2,5.94,6.59,280.7,1
01/12/18,9:00:01,Chesapeake,121.7,17.03,0.76,208.3,5.59,6.6,280.3,1
01/12/18,10:00:01,Chesapeake,121.9,17.04,0.8,208.2,5.82,6.61,281.6,1
01/12/18,11:00:01,Chesapeake,122,17.03,0.83,206.9,5.66,6.64,281.3,1
01/12/18,12:00:01,Chesapeake,122.1,17.02,0.9,208.1,5.5,6.65,281,1
01/12/18,13:00:01,Chesapeake,121.9,17,0.89,209.7,5.82,6.65,281,1
01/12/18,14:00:01,Chesapeake,122.1,16.97,0.99,213.3,6.28,6.63,280.4,1
01/12/18,15:00:01,Chesapeake,122,16.93,1.04,213.9,6.26,6.62,280.6,1
01/12/18,16:00:01,Chesapeake,121.8,16.9,1.06,214.5,6.26,6.61,281.3,1
01/12/18,17:00:01,Chesapeake,121.6,16.87,1.07,215.4,6.51,6.61,281.2,1
