Transect,Date (MM/DD/YYYY),Time (HH:MM:SS),Time (Fract. Sec),Site Name,Fault Code,Battery V,Cable Pwr V,ODO % sat,ODO mg/L,Chlorophyll RFU,Chlorophyll µg/L,BGA-PC RFU,BGA-PC µg/L,Temp °C,Cond µS/cm,SpCond µS/cm,Sal psu,nLF Cond µS/cm,TDS mg/L,Turbidity NTU,TSS mg/L,pH,pH mV,"ORP, mV",Depth m
T-1,8/2/2019,13:40:01,,Test,,,,103,8.15,,,,,27.4,,,,,,,,7,,0,1
T-1,8/2/2019,13:42:01,,1XS,,,,102.9,8.29,,,,,26.39,,,,,,,,7,,0,1
T-1,8/2/2019,13:44:01,,1,,,,102.9,8.02,,,,,28.25,,,,,,,,7,,0,1
T-1,8/2/2019,13:46:01,,1,,,,103.9,8.14,,,,,27.9,,,,,,,,7,,0,1
T-1,8/2/2019,13:48:01,,1,,,,111.7,8.75,,,,,27.94,,,,,,,,7,,0,1
T-1,8/2/2019,13:50:01,,1,,,,111.2,8.73,,,,,27.83,,,,,,,,7,,0,1
T-1,8/2/2019,13:52:01,,1,,,,112.7,8.74,,,,,28.48,,,,,,,,7,,0,1
T-1,8/2/2019,13:54:01,,1,,,,114,8.9,,,,,28.16,,,,,,,,7,,0,1
T-1,8/2/2019,13:56:01,,1,,,,111.7,8.74,,,,,28.01,,,,,,,,7,,0,1
T-1,8/2/2019,13:58:01,,1,,,,111.7,8.74,,,,,27.99,,,,,,,,7,,0,1
T-1,8/2/2019,14:00:01,,1,,,,115.1,8.95,,,,,28.35,,,,,,,,7,,0,1
T-1,8/2/2019,14:02:01,,1,,,,116.2,9.05,,,,,28.31,,,,,,,,7,,0,1
T-1,8/2/2019,14:04:01,,1,,,,115.6,8.96,,,,,28.57,,,,,,,,7,,0,1
T-1,8/2/2019,14:06:01,,1,,,,117.2,9.09,,,,,28.51,,,,,,,,7,,0,1
T-1,8/2/2019,14:08:01,,1,,,,118.5,9.18,,,,,28.56,,,,,,,,7,,0,1
T-1,8/2/2019,14:10:01,,1,,,,118.9,8.97,,,,,28.63,,,,,,,,7.04,,,1
T-1,8/2/2019,14:12:01,,1,,,,118.3,8.8,,,,,28.79,,,,,,,,7.04,,,1
T-1,8/2/2019,14:14:01,,1,,,,119.3,8.86,,,,,28.68,,,,,,,,8.5,,129.3,1
T-1,8/2/2019,14:16:01,,1,,,,118.1,8.77,,,,,28.68,,,,,,,,8.48,,130.5,1
T-1,8/2/2019,14:18:01,,1,,,,118.6,8.78,,,,,28.85,,,,,,,,8.49,,131.4,1
T-1,8/2/2019,14:20:01,,1,,,,118.4,8.74,,,,,28.99,,,,,,,,8.51,,130.8,1
T-1,8/2/2019,14:22:01,,1,,,,119.4,8.83,,,,,28.91,,,,,,,,8.49,,131.6,1
T-1,8/2/2019,14:24:01,,1,,,,120.6,8.88,,,,,29.14,,,,,,,,8.53,,131.1,1
T-1,8/2/2019,14:26:01,,1,,,,121.2,8.91,,,,,29.26,,,,,,,,8.53,,132,1
T-1,8/2/2019,14:28:01,,1,,,,121.4,8.91,,,,,29.36,,,,,,,,8.54,,131.3,1
T-1,8/2/2019,14:30:01,,1,,,,121.7,8.93,,,,,29.35,,,,,,,,8.53,,131.9,1
T-1,8/2/2019,14:32:01,,1,,,,119.8,8.87,,,,,28.82,,,,,,,,8.5,,132.7,1
T-1,8/2/2019,14:34:01,,1,,,,120.1,8.85,,,,,29.15,,,,,,,,8.53,,132.5,1
T-1,8/2/2019,14:36:01,,1,,,,121.4,8.96,,,,,29.03,,,,,,,,8.54,,133.1,1
T-1,8/2/2019,14:38:01,,1,,,,120,8.89,,,,,28.8,,,,,,,,8.53,,133.3,1
T-1,8/2/2019,14:40:01,,1,,,,119,8.81,,,,,28.84,,,,,,,,8.5,,135.1,1
T-1,8/2/2019,14:42:01,,1,,,,119.9,8.82,,,,,29.22,,,,,,,,8.52,,135.5,1
T-1,8/2/2019,14:44:01,,1,,,,119.6,8.83,,,,,29.04,,,,,,,,8.52,,135.8,1
T-1,8/2/2019,14:46:01,,1,,,,116.5,8.69,,,,,28.4,,,,,,,,8.44,,137.1,1
T-1,8/2/2019,14:48:01,,1,,,,103.1,8.56,,,,,24.72,,,,,,,,6.66,,243.3,1
T-1,8/2/2019,14:50:01,,1,,,,101.1,8.17,,,,,26.22,,,,,,,,6.49,,260.3,1
T-2,8/2/2019,10:56:01,,1XB,,,,99.2,8.09,,,,,23.88,0.7,0.7,,,,,,6.66,,216.6,1
T-2,8/2/2019,10:58:01,,2XS,,,,100.4,8.2,,,,,23.76,0.3,0.3,,,,,,6.35,,272.6,1
T-2,8/2/2019,11:00:01,,1,,,,104.4,7.95,,,,,27.6,142.4,142.4,,,,,,8.3,,203.2,1
T-2,8/2/2019,11:02:01,,1,,,,104.9,7.98,,,,,27.58,142,142,,,,,,8.38,,194.5,1
T-2,8/2/2019,11:04:01,,1,,,,104.5,7.96,,,,,27.59,141.9,141.9,,,,,,8.4,,191.1,1
T-2,8/2/2019,11:06:01,,1,,,,104,7.93,,,,,27.52,142.4,142.4,,,,,,8.4,,188.8,1
T-2,8/2/2019,11:08:01,,1,,,,103.6,7.89,,,,,27.54,142,142,,,,,,8.42,,187.2,1
T-2,8/2/2019,11:10:01,,1,,,,104.1,7.93,,,,,27.57,142,142,,,,,,8.43,,185.9,1
T-2,8/2/2019,11:12:01,,1,,,,104.3,7.94,,,,,27.54,141.9,141.9,,,,,,8.43,,185.5,1
